id,tags
41,"1girl, long_hair, blush, black_hair, 1boy, hat, dress, sitting, white_dress, english_text, parody, cover, magazine_cover, fine_art_parody, fake_cover"
42,"english_text, military, no_humans, cover, fire, robot, ground_vehicle, mecha, motor_vehicle, science_fiction, realistic, military_vehicle, retro_artstyle, explosion, magazine_cover, fake_cover, poster_\(medium\), box_art"
43,"brown_hair, 1boy, male_focus, multiple_boys, english_text, tree, parody, cover, science_fiction, realistic, retro_artstyle, red_coat, 1980s_\(style\), magazine_cover, fake_cover, poster_\(medium\)"
44,"solo, looking_at_viewer, smile, shirt, black_hair, long_sleeves, 1boy, holding, sitting, white_shirt, male_focus, sky, striped, pants, vest, english_text, night, parody, cover, star_\(sky\), night_sky, realistic, red_vest, retro_artstyle, 1980s_\(style\), magazine_cover, striped_pants, fake_cover"
45,"black_hair, hat, holding, weapon, male_focus, multiple_boys, sword, cape, holding_weapon, english_text, copyright_name, facial_hair, parody, holding_sword, cover, polearm, retro_artstyle, fake_cover"
46,"1girl, breasts, 1boy, medium_breasts, multiple_boys, wings, 2boys, english_text, sideboob, parody, cover, crown, cover_page, shield, retro_artstyle, fairy, wolf, butterfly_wings, fake_cover"
47,"1girl, dress, flower, english_text, parody, cover, bug, snake"
48,"1girl, dress, flower, english_text, parody, cover, bug, snake"
49,"looking_at_viewer, smile, 1boy, closed_mouth, teeth, english_text, parody, plant, realistic"
50,"1girl, black_hair, 1boy, english_text, parody, plant, snake"
51,"male_focus, multiple_boys, 2boys, uniform, english_text, military, parody, cover, realistic, retro_artstyle, wolf, 1980s_\(style\), fake_cover"
52,"solo, 1boy, monochrome, male_focus, english_text, parody"
53,"monochrome, comic, english_text, no_humans, cover, black_background, text_focus"
54,"monochrome, english_text, no_humans, cover, text_focus"
55,"1girl, long_hair, 1boy, blue_hair, cape, english_text, parody, cover, cloak, aircraft, retro_artstyle, fake_cover"
56,"brown_hair, shirt, black_hair, jewelry, white_shirt, male_focus, multiple_boys, necktie, 2boys, necklace, looking_at_another, english_text, parody, formal, table, cover, suit, pointing, paper, realistic, retro_artstyle, 1980s_\(style\), magazine_cover, fine_art_parody, fake_cover"
57,"1boy, hat, white_hair, male_focus, multiple_boys, english_text, facial_hair, parody, cover, instrument, beard, headwear_removed, playing_instrument, magazine_cover, fake_cover"
58,"1girl, long_hair, multiple_girls, blonde_hair, hat, dress, multiple_boys, english_text, parody, cover, retro_artstyle, candle, 1980s_\(style\), real_life_insert, magazine_cover, fake_cover"
59,"1girl, brown_hair, 1boy, dress, jewelry, english_text, facial_hair, parody, sandals, cover, carrying, armlet, retro_artstyle, princess_carry, 1980s_\(style\), fake_cover, poster_\(medium\)"
60,"1girl, solo, long_hair, hat, english_text, lips, copyright_name, parody, cover, logo"
61,"solo, looking_at_viewer, smile, black_hair, 1boy, upper_body, male_focus, black_eyes, english_text, parody, realistic, labcoat"
62,"solo, looking_at_viewer, english_text, no_humans, pentagram"
63,"1girl, long_hair, 1boy, standing, english_text, tree, night, parody, cover, nature, forest, snowing, silhouette"
64,"solo, looking_at_viewer, smile, 1boy, flower, male_focus, english_text, bouquet"
65,"english_text, no_humans, parody, cover, text_focus, yellow_theme, magazine_cover"
66,"boots, multiple_boys, 2boys, english_text, parody, cover, robot, science_fiction, realistic, retro_artstyle, space, planet, alien, 1980s_\(style\), spacesuit, fake_cover, poster_\(medium\)"
67,"long_hair, 1boy, holding, monochrome, weapon, greyscale, male_focus, sword, holding_weapon, armor, holding_sword, monster, shield, holding_shield, ink_\(medium\)"
68,"solo, smile, blonde_hair, 1boy, jewelry, closed_eyes, male_focus, necklace, english_text, parody, cover, realistic, retro_artstyle, space, bald, planet, earth_\(planet\), fake_cover"
69,"solo, holding, standing, food, english_text, no_humans, parody, text_focus, antennae, retro_artstyle, fake_cover"
70,"water, english_text, no_humans, copyright_name, parody, moon, cover, building, red_background, science_fiction, retro_artstyle, watercraft, ship, waves, spacecraft, poster_\(medium\)"
71,"1girl, solo, dress, holding, standing, english_text, parody"
72,"english_text, no_humans, copyright_name, parody, cover, text_focus, logo, space, album_cover, poster_\(medium\)"
73,"1girl, solo, looking_at_viewer, brown_hair, hat, brown_eyes, english_text, lips, cover, realistic, cowboy_hat, fedora, magazine_cover, fake_cover"
74,"1girl, solo, long_hair, hat, english_text, lips, copyright_name, parody, cover, logo"
75,"1boy, holding, weapon, male_focus, teeth, sword, holding_weapon, english_text, gun, copyright_name, parody, cover, claws, science_fiction, monster, realistic, retro_artstyle, battle, alien, magazine_cover, fake_cover, kaijuu, box_art"
76,"1girl, solo, english_text, watermark, web_address"
77,"solo, 1boy, monochrome, male_focus, english_text, parody"
78,"1girl, long_hair, brown_hair, outdoors, water, english_text, ocean, parody, cover, rope, retro_artstyle, watercraft, boat, 1980s_\(style\), magazine_cover, fake_cover, poster_\(medium\)"
79,"1girl, long_hair, black_hair, 1boy, dress, holding, weapon, sword, holding_weapon, white_dress, english_text, parody, cover, retro_artstyle, 1980s_\(style\), fake_cover"
80,"1girl, open_mouth, 1boy, multiple_boys, teeth, 2boys, english_text, facial_hair, parody, beard, monster, dragon, retro_artstyle"
81,"breasts, multiple_girls, nude, english_text, parody, cover, retro_artstyle, 1990s_\(style\), 1980s_\(style\), poster_\(medium\)"
82,"1girl, outdoors, signature, english_text, tree, parody, cover, helmet, fire, science_fiction, realistic, retro_artstyle, 1980s_\(style\), spacesuit, desert, poster_\(medium\), kaijuu, astronaut"
83,"multiple_boys, teeth, english_text, parody, cover, robot, science_fiction, monster, retro_artstyle, battle, alien, 1980s_\(style\), spacecraft, video_game, dinosaur, fake_cover, kaijuu, box_art"
84,"multiple_boys, teeth, english_text, parody, cover, robot, science_fiction, monster, retro_artstyle, battle, alien, 1980s_\(style\), spacecraft, video_game, dinosaur, fake_cover, kaijuu, box_art"
85,"1girl, solo, long_hair, hat, english_text, lips, copyright_name, parody, cover, logo"
86,"solo, 1boy, male_focus, english_text, parody"
87,"solo, 1boy, male_focus, english_text, parody"
88,"sky, english_text, no_humans, night, star_\(sky\), scenery, starry_sky, space"
89,"outdoors, water, english_text, tree, no_humans, copyright_name, bird, parody, cover, watercraft, boat, poster_\(medium\)"
90,"1girl, solo, long_hair, blonde_hair, dress, english_text, parody, cover, black_background, text_focus"
91,"1girl, solo, long_hair, blonde_hair, dress, english_text, parody, cover, black_background, text_focus"
92,"english_text, no_humans, logo, tarot, poster_\(medium\)"
93,"1girl, short_hair, blonde_hair, black_hair, dress, bow, multiple_boys, 2boys, bowtie, english_text, parody, formal, suit, cross, fire, green_dress, retro_artstyle"
94,"1girl, solo, looking_at_viewer, short_hair, blue_eyes, brown_hair, closed_mouth, english_text, lips, cover, cover_page, portrait, realistic, magazine_cover, fake_cover"
95,"english_text, no_humans, cover, yellow_background, text_focus, magazine_cover, poster_\(medium\)"
96,"multiple_boys, english_text, parody, cover, 6+boys, monster, retro_artstyle, 1990s_\(style\), fake_cover"
97,"1girl, solo, long_hair, hat, english_text, lips, copyright_name, parody, cover, logo"
98,"multiple_girls, 2girls, weapon, multiple_boys, english_text, parody, bound, cover, fire, 6+boys, retro_artstyle, 1980s_\(style\)"
99,"solo, looking_at_viewer, 1boy, male_focus, english_text, parody, poster_\(medium\)"
100,"simple_background, english_text, no_humans, copyright_name, blue_background, parody, logo"
101,"looking_at_viewer, red_eyes, 1boy, teeth, english_text, copyright_name, parody, cover, logo, poster_\(medium\)"
102,"solo, 1boy, hat, male_focus, english_text, facial_hair, parody, formal, suit, beard, top_hat, mustache, door, candle, purple_theme, cane, tuxedo"
103,"english_text, no_humans, copyright_name, parody, skull, skeleton, bone, poster_\(medium\)"
104,"1girl, solo, long_hair, hat, english_text, lips, copyright_name, parody, cover, logo"
105,"outdoors, sky, english_text, tree, no_humans, copyright_name, night, nature, text_focus, logo, bare_tree"
106,"solo, holding, outdoors, sky, hood, english_text, tree, night, nature, cloak, hood_up, lantern, hooded_cloak, black_cloak, holding_lantern"
107,"english_text, book, no_humans, tentacles, open_book, eldritch_abomination"
108,"multiple_boys, english_text, parody, formal, cover, suit, barcode, magazine_cover, fake_cover"
109,"english_text, book, no_humans, parody, cover, black_background, tentacles, open_book, text_focus"
110,"english_text, book, no_humans, parody, cover, black_background, tentacles, open_book, text_focus"
111,"english_text, book, no_humans, cover, tentacles, open_book, text_focus, magazine_cover, fake_cover, poster_\(medium\)"
112,"monochrome, comic, greyscale, english_text, no_humans, candle"
113,"solo, looking_at_viewer, 1boy, male_focus, english_text, parody, poster_\(medium\)"
114,"solo, looking_at_viewer, 1boy, monochrome, greyscale, male_focus, pointy_ears, english_text, realistic"
115,
116,
117,
118,
119,
120,
121,
122,
123,
124,
125,
126,
127,
128,
129,
130,
131,
132,
133,
134,
135,
136,
137,
138,
139,
140,
