id,Record,Title,Cover Image Link,Author,Publisher,Date,Price,Pages,Binding,Tag,Publication Type,Note
10,41381,The Heads of Cerberus,https://www.isfdb.org/wiki/images/8/87/BKTG17439.jpg,Francis Stevens,Carroll & Graf,1984-11-00,$3.50,190,pb,BKTG17439,NOVEL,Stated 1st Carroll & Graf printing.
11,330293,The Heads of Cerberus,https://m.media-amazon.com/images/I/41dgnZyqyiL.jpg,Francis Stevens,Munsey's,2009-11-17,$14.95,184,tp,THHDSFCRBR2009,NOVEL,Data from Amazon.com as of 2010-09-05
12,432329,The Heads of Cerberus,https://m.media-amazon.com/images/I/51pd8mW%2B86L.jpg,Francis Stevens,Fantastic Books,2013-08-27,$12.99,174,tp,THHDSFCRBR2013,NOVEL,Data from Amazon.com as of 2013-11-15.
13,485681,The Heads of Cerberus,https://m.media-amazon.com/images/I/41Mpfl5TwPL.jpg,Francis Stevens,CreateSpace,2014-01-22,$12.99,214,tp,THHDSFCRBR2014,NOVEL,Data from Amazon.com as of 2014-10-19.
14,519209,The Heads of Cerberus,https://m.media-amazon.com/images/I/51fCaj3bJQL.jpg,Francis Stevens,Dover Publications,2014-09-29,$10.95,,ebook,THHDSFCRBC2014,NOVEL,"Amazon Kindle's page count 192. Data from Amazon.com as of 2015-06-11/2022-10-17. Price from Barnes & Noble as of 2014-10-20. 
""This Dover edition, first published in 2014, is an unabridged republication of the work first serialized in The Thrill Book by Street & Smith Publications, Inc., in 1919, and originally published in book form by Polaris Press, Reading, Pa., in 1952."""
15,485920,The Heads of Cerberus,https://m.media-amazon.com/images/I/515gmMg45LL.jpg,Francis Stevens,Dover Publications,2014-12-17,$10.95,192,tp,THHDSFCRBB2014,NOVEL,Data from Amazon.com as of 2014-10-19.
16,678439,The Heads of Cerberus,https://images-na.ssl-images-amazon.com/images/I/51qrjHHfp1L.jpg,Francis Stevens,Sci-Fi Publishing,2018-07-05,$3.99,,ebook,THHDSFCRBR2018,NOVEL,Amazon Kindle's page count 292. Data from Amazon.com as of 2018-08-16.
17,903095,"Sci-Fi Boxed Set: 160+ Space Adventures, Lost Worlds, Dystopian Novels & Apocalyptic Tales",https://m.media-amazon.com/images/I/41x+DBSou6L.jpg,uncredited,Musaicum Books,2018-12-21,$0.99,,ebook,SCFBXDSTSP2018,OMNIBUS,"<ul>
<li>Publication data from Amazon.com, and its <i>Look Inside</i> feature, as of 2022-06-20.
<li>34256 KB, or 21143 printed pages in length.
<li>No cover artist credited.
<li>From the Kindle.
</ul>"
18,728995,Sci-Fi Ultimate Collection,https://images-na.ssl-images-amazon.com/images/I/41RGUzv7afL.jpg,uncredited,Musaicum Books / OK Publishing,2018-12-21,$0.99,,ebook,SCFLTMTCLL2018,OMNIBUS,"<ul>
<li>Publishing data from Amazon.com, and its ""Look Inside"" feature, as of 2019-08-24.
<li>Full title: <i>Sci-Fi Ultimate Collection: 160 + Space Adventures, Lost Worlds, Dystopian Novels & Post-Apocalyptic Tales</i>.
<li>34401 KB. No printed page equivalent given.
<li>All stories are in the public domain.
</ul>"
19,704413,The Heads of Cerberus,https://images-na.ssl-images-amazon.com/images/I/41QUGF-MiPL.jpg,Francis Stevens,Aegitas,2019-01-18,$0.99,,ebook,THHDSFCRBR2019,NOVEL,Amazon Kindle's page count 243. Data from Amazon.com as of 2019-02-17.
20,707539,The Heads of Cerberus,https://images-na.ssl-images-amazon.com/images/I/415AFtM1jQL.jpg,Francis Stevens,Modern Library,2019-05-21,$15.00,xi+198,tp,THHDSFCRBB2019,NOVEL,Data from Amazon and Locus Magazine #702 as of 2019-07-06.
21,719941,The Heads of Cerberus,https://m.media-amazon.com/images/I/415AFtM1jQL.jpg,Francis Stevens,Modern Library,2019-05-21,$4.99,,ebook,THHDSFCRBC2019,NOVEL,"Amazon Kindle's page count 203. Data from Amazon.com as of 2019-06-20/2022-10-17. 
Cover design: Rachel Ake"
22,921010,Le teste del Cerbero,https://m.media-amazon.com/images/I/51v2XVPa1jL.jpg,Gertrude Barrows Bennett,Black Dog Edizioni,2019-11-05,15.00,275,tp,LTSTDLCRBR2019,NOVEL,Data from publisher's website.
23,291180,"Argosy, March 6, 1920",http://www.philsp.com/data/images/a/argosy_19200306.jpg,Editors of Argosy,Frank A. Munsey,1920-03-06,$0.10,,unknown,RGSMRCHMMK1920,MAGAZINE,Speculative fiction content only. Data from <i>Index to Fantasy & Science Fiction in Munsey Publications</i> and FictionMags
24,291181,"Argosy, March 13, 1920",http://www.philsp.com/data/images/a/argosy_19200313.jpg,Editors of Argosy,Frank A. Munsey,1920-03-13,$0.10,,unknown,RGSMRCHQLQ1920,MAGAZINE,"Speculative fiction content only.<br>
Data from the <i>Index to Fantasy & Science Fiction in Munsey Publications</i> and FictionMags."
25,291182,"Argosy, March 20, 1920",http://www.philsp.com/data/images/a/argosy_19200320.jpg,Editors of Argosy,Frank A. Munsey,1920-03-20,$0.10,,unknown,RGSMRCHBZH1920,MAGAZINE,"Speculative fiction content only.<br>
Data from the <i>Index to Fantasy & Science Fiction in Munsey Publications</i> and FictionMags."
26,57990,"Famous Fantastic Mysteries, April 1941",http://www.philsp.com/data/images/f/famous_fantastic_mysteries_194104.jpg,Mary Gnaedinger,The Frank A. Munsey Company,1941-04-00,$0.10,116,pulp,FAMFANMYSAPR1941,MAGAZINE,"<!--isfdb specific-->
<a href=""http://www.isfdb.org/cgi-bin/pl.cgi?58019"">Feb. 1941</a>&#8592;Apr. 1941&#8594;<a href=""http://www.isfdb.org/cgi-bin/pl.cgi?58031"">Jun. 1941</a><br/>
<!--isfdb specific-->
Vol. III, No. 1.<br>The editor is not credited but Day and Ashley credit Gnaedinger"
27,60779,"Super Science Stories (Canadian), October 1944",http://www.philsp.com/data/images/s/super_science_stories_canada_194410.jpg,Alden H. Norton,"Popular Publications, Inc.; Toronto, Canada",1944-10-00,C$0.15,84,pulp,SPRSCISCOCT1944,MAGAZINE,V1 #14
28,291151,Claimed,https://isfdb.org/wiki/images/5/57/CLMDHSFSLH1966.jpg,Francis Stevens,Avalon Books,1966-00-00,$3.25,192,hc,CLMDHSFSLH1966,NOVEL,"""No statement of printing on copyright page."" - Currey, but there is a copyright date of 1966.
""Published simultaneously in [Canada] by the Ryerson Press"".
Artist credited on dust jacket, initials on artwork."
29,291491,Claimed,https://m.media-amazon.com/images/G/01/ciu/d0/3a/fde3810ae7a0f633fcd0d110.L.jpg,Francis Stevens,Carroll & Graf,1985-07-00,$3.95,192,pb,CLMDPJZXNP0000,NOVEL,
30,291492,Claimed,https://m.media-amazon.com/images/P/0918736374.jpg,Francis Stevens,Sense of Wonder Press,2000-09-00,$14.95,192,tp,CLMDDHJSFP0000,NOVEL,First Sense of Wonder Press edition.
31,685290,Claimed!,https://images-na.ssl-images-amazon.com/images/I/51IyKHpHJfL.jpg,Francis Stevens,Dodo Press,2008-02-22,$14.99,144,tp,CLMDJBCDSV2008,NOVEL,Data from Amazon.com as of 2018-09-29.
32,329667,Claimed,https://m.media-amazon.com/images/I/512HCu6C1HL.jpg,Francis Stevens,Munsey's,2009-11-18,$11.95,124,tp,CLMDLPPFNW2009,NOVEL,Data from Amazon.com as of 2010-08-29.<br>
33,673041,Claimed! and Avalon,https://images-na.ssl-images-amazon.com/images/I/51zWeQKE1SL.jpg,Francis Stevens,Black Dog Books,2018-02-06,$14.95,242,tp,CLMDVLNJCG2018,OMNIBUS,Data from Amazon.com as of 2018-07-05.
34,678437,Claimed!,https://images-na.ssl-images-amazon.com/images/I/41QtiCON9KL.jpg,Francis Stevens,Sci-Fi Publishing,2018-07-05,$2.79,,ebook,CLMDHFCCND2018,NOVEL,Amazon Kindle's page count 199. Data from Amazon.com as of 2018-08-16.
35,917140,Atlantis and Lemuria: 13 Classic Tales,https://m.media-amazon.com/images/I/418J8JUbz3L.jpg,Nico Lorenzutti,ROH Press,2018-12-11,$2.99,,ebook,TLNTSNDLMR2018,OMNIBUS,"Source: Amazon.com
Credits from <a href=""https://commons.wikimedia.org/wiki/File:Aivazovsky_-_Crash.jpg"">Wikimedia Commons</a>
Print length: 2358 pages"
36,704336,Claimed!,https://images-na.ssl-images-amazon.com/images/I/410m77IrZUL.jpg,Francis Stevens,Aegitas,2019-01-18,$0.99,,ebook,CLMDCBKCCN2019,NOVEL,Amazon Kindle's page count 161. Data from Amazon.com as of 2019-02-17.
37,789108,Claimed,https://www.isfdb.org/wiki/images/c/c3/CLMDRGLS2020.jpg,Francis Stevens,Roy Glashan's Library,2020-08-26,A$0.00,,ebook,CLMDWMLNXK2020,NOVEL,"Unpaginated ebook. Formats: HTML, EPUB.
The source edition is the <i>Famous Fantastic Mysteries</i> publication."
38,1029354,Claimed!,https://m.media-amazon.com/images/I/812SKaHO0rL.jpg,Gertrude Barrows Bennett,Penguin Books,2024-10-17,£5.99,,ebook,CLMDPGRDLQ2024,NOVEL,"Data from Amazon UK, Kobo (GB) and publisher's site as of 2024-10-07.

Print length of 132 pages listed by Amazon UK; 137 pages listed by Kobo (GB); 144 pages listed by publisher's site."
39,310188,"The Argosy, September 14, 1918",http://www.philsp.com/data/images/a/argosy_19180914.jpg,Editors of Argosy,Frank A. Munsey,1918-09-14,$0.10,,pulp,RGSSPTMBRG1918,MAGAZINE,"v99 #2
Speculative fiction content only.
Data from the <i>Index to Fantasy & Science Fiction in Munsey Publications</i> and FictionMags."
40,310189,"The Argosy, September 21, 1918",http://www.philsp.com/data/images/a/argosy_19180921.jpg,Editors of Argosy,Frank A. Munsey,1918-09-21,$0.10,,pulp,RGSSPTMBRZ1918,MAGAZINE,"v99
Speculative fiction content only.
Data from the <i>Index to Fantasy & Science Fiction in Munsey Publications</i> and FictionMags."
41,310190,"The Argosy, September 28, 1918",http://www.philsp.com/data/images/a/argosy_19180928.jpg,Editors of Argosy,Frank A. Munsey,1918-09-28,$0.10,,pulp,RGSSPTMBRF1918,MAGAZINE,"v99 #4
Speculative fiction content only.
Data from the <i>Index to Fantasy & Science Fiction in Munsey Publications</i> and FictionMags."
42,310191,"The Argosy, October 5, 1918",http://www.philsp.com/data/images/a/argosy_19181005.jpg,Editors of Argosy,Frank A. Munsey,1918-10-05,$0.10,,pulp,RGSCTBRHQD1918,MAGAZINE,"v100 #1
Speculative fiction content only. 
Data from <i>Index to Fantasy & Science Fiction in Munsey Publications</i> and FictionMags"
43,310192,"The Argosy, October 12, 1918",http://www.philsp.com/data/images/a/argosy_19181012.jpg,Editors of Argosy,Frank A. Munsey,1918-10-12,$0.10,,pulp,RGSCTBRWJM1918,MAGAZINE,"v100 #2
Speculative fiction content only.
Data from the <i>Index to Fantasy & Science Fiction in Munsey Publications</i> and FictionMags."
44,310193,"The Argosy, October 19, 1918",http://www.philsp.com/data/images/a/argosy_19181019.jpg,Editors of Argosy,Frank A. Munsey,1918-10-19,$0.10,,pulp,RGSCTBRPFV1918,MAGAZINE,"v100 #3
Speculative fiction content only. 
Data from <i>Index to Fantasy & Science Fiction in Munsey Publications</i> and FictionMags"
45,291183,"The Argosy, October 26, 1918",http://www.philsp.com/data/images/a/argosy_19181026.jpg,Editors of Argosy,Frank A. Munsey,1918-10-26,$0.10,,pulp,RGSCTBRGPX1918,MAGAZINE,"v100 #4
Speculative fiction content only.
Data from the <i>Index to Fantasy & Science Fiction in Munsey Publications</i> and FictionMags.
Citadel of Fear began in the September 14, 1918 issue."
46,58020,"Famous Fantastic Mysteries Combined with Fantastic Novels Magazine, February 1942",http://www.philsp.com/data/images/f/famous_fantastic_mysteries_194202.jpg,Mary Gnaedinger,The Frank A. Munsey Company,1942-02-00,$0.15,132,pulp,FAMFANMYSFEB1942,MAGAZINE,"<!--isfdb specific-->
<a href=""http://www.isfdb.org/cgi-bin/pl.cgi?58008"">Dec. 1941</a>&#8592;Feb. 1942&#8594;<a href=""http://www.isfdb.org/cgi-bin/pl.cgi?57991"">Apr. 1942</a><br/>
<!--isfdb specific-->
Vol. III, No. 6.<br>The editor is not credited but Day and Ashley credit Gnaedinger.<br>Famous Fantastic Mysteries on the cover."
47,291142,The Citadel of Fear,https://www.isfdb.org/wiki/images/1/13/THCTDLFFRC1970.jpg,Francis Stevens,Paperback Library,1970-08-00,$0.95,270,pb,THCTDLFFRC1970,NOVEL,"<ul>
<li>""First Printing: August, 1970""; no number line
<li>Copyright 1918 by the Frank A. Munsey Company.
<li>Copyright renewed 1946 by Popular Publications, Inc.
<li><i>Introduction</i> Copyright 1970 by Sam Moscowitz 
<li>Introduction by Sam Moskowitz, which is misspelled as ""Moscowitz"" on the cover, title and copyright pages but spelled correctly in the actual introduction.
<li>The artist is not credited, the wraparound artwork is clearly signed
<li>Printed in the US
</ul>"
48,422180,The Citadel of Fear,https://www.isfdb.org/wiki/images/1/13/THCTDLFFRC1970.jpg,Francis Stevens,Paperback Library,1970-08-00,C$0.95,270,pb,THCTDLFFRZ1970,NOVEL,"<br> ""First Printing: August, 1970""; no number line
 Introduction by Sam Moskowitz, which is misspelled as ""Moscowitz"" on the cover, title and copyright pages but spelled correctly in the actual introduction.
 The artist is not credited, the wraparound artwork is clearly signed
 Cover printed in the US, book in Canada"
49,37143,The Citadel of Fear,https://www.isfdb.org/wiki/images/4/41/BKTG17437.jpg,Francis Stevens,Carroll & Graf,1984-05-00,$3.50,270,pb,BKTG17437,NOVEL,
50,318996,The Citadel of Fear,https://m.media-amazon.com/images/I/51TiOePNSRL.jpg,Francis Stevens,Dodo Press,2010-02-19,$22.99,288,tp,THCTDLFFRD2010,NOVEL,"Data from Amazon.com as of 2010-05-20.<br>
Reprints the 1970 Paperback Library edition cover art."
51,512514,The Citadel of Fear,https://armchairfiction.com/images/ISFDBimg/B8.jpg,Francis Stevens,Armchair Fiction,2015-04-22,$12.95,248,tp,THCTDLFFRP2015,NOVEL,Data from publisher's Web site. Data from Armchair Fiction as of 04/27/15.
52,739935,Citadel of Fear,https://images-na.ssl-images-amazon.com/images/I/41YjxWaexmL.jpg,Francis Stevens,Sci-Fi Publishing,2018-08-20,$12.99,184,tp,FRNCSSTVNS2018,NOVEL,Data from Amazon.com as of 2019-10-18.
53,704422,The Citadel of Fear,https://images-na.ssl-images-amazon.com/images/I/51RWCSwnsJL.jpg,Francis Stevens,Aegitas,2019-01-18,$0.99,,ebook,THCTDLFFRG2019,NOVEL,Amazon Kindle's page count 260. Data from Amazon.com as of 2019-02-17.
54,883978,The Citadel of Fear,https://m.media-amazon.com/images/I/51mvlhJ7kBL.jpg,Francis Stevens,Flame Tree 451,2022-04-12,$14.99,416,tp,THCTDLFFRS2022,NOVEL,Data from Amazon.com as of 2022-02-24.
55,313104,"Argosy, June 19, 1920",http://www.philsp.com/data/images/a/argosy_19200619.jpg,Editors of Argosy,Frank A. Munsey,1920-06-19,$0.10,,unknown,RGSJNRXSVL1920,MAGAZINE,"Speculative fiction content only.<br>
Data from the <i>Index to Fantasy & Science Fiction in Munsey Publications</i> and FictionMags."
56,313105,"Argosy, June 26, 1920",http://www.philsp.com/data/images/a/argosy_19200626.jpg,Editors of Argosy,Frank A. Munsey,1920-06-26,$0.10,,unknown,RGSJNTSZGP1920,MAGAZINE,"Speculative fiction content only.<br>
Data from the <i>Index to Fantasy & Science Fiction in Munsey Publications</i> and FictionMags."
57,313106,"Argosy, July 3, 1920",http://www.philsp.com/data/images/a/argosy_19200703.jpg,Editors of Argosy,Frank A. Munsey,1920-07-03,$0.10,,unknown,RGSJLZDVXF1920,MAGAZINE,"Data from Fictionmags.Speculative fiction content only.<br>
Data from the <i>Index to Fantasy & Science Fiction in Munsey Publications</i> and FictionMags."
58,291185,"Argosy, July 10, 1920",http://www.philsp.com/data/images/a/argosy_19200710.jpg,Editors of Argosy,Frank A. Munsey,1920-07-10,$0.10,,unknown,RGSJLDZKWQ1920,MAGAZINE,"Serapion began with the June 19, 1920 issue.<br>
Speculative fiction content only. Data from the <i>Index to Fantasy & Science Fiction in Munsey Publications</i> and FictionMags."
59,58029,"Famous Fantastic Mysteries Combined with Fantastic Novels Magazine, July 1942",http://www.philsp.com/data/images/f/famous_fantastic_mysteries_194207.jpg,Mary Gnaedinger,The Frank A. Munsey Company,1942-07-00,$0.25,148,pulp,FAMFANMYSJUL1942,MAGAZINE,"<!--isfdb specific-->
<a href=""http://www.isfdb.org/cgi-bin/pl.cgi?58032"">Jun. 1942</a>&#8592;Jul. 1942&#8594;<a href=""http://www.isfdb.org/cgi-bin/pl.cgi?58000"">Aug. 1942</a><br/>
<!--isfdb specific-->
Vol. IV, No. 3.<br>The editor is not credited but Day and Ashley credit Gnaedinger.<br>Famous Fantastic Mysteries on the cover.<br>Some sources list Serapion as a novella and it is categorized as a novelette in this magazine. It is at least 42,000 words in length."
60,63964,The Nightmare and Other Tales of Dark Fantasy,https://m.media-amazon.com/images/P/0803292988.jpg,Francis Stevens,Bison Books,2004-00-00,$19.95,xxv+404,tp,THNGHTMRND2004,COLLECTION,Cover Design by R. W. Boeche.
61,370691,Serapion,https://m.media-amazon.com/images/I/41QsE5EPgHL.jpg,Francis Stevens,Dodo Press,2008-02-29,$8.99,144,tp,SRPNDDPRSS2008,NOVEL,Data from Amazon.com as of 2011-12-16.
62,329660,Serapion,https://m.media-amazon.com/images/I/51986ec8jTL.jpg,Francis Stevens,Munsey's,2009-11-17,$11.95,118,tp,SRPNRCRHDN2009,NOVEL,Data from Amazon.com as of 2010-08-29.<br>
63,604901,The Second Haunts & Horrors Megapack,https://images-na.ssl-images-amazon.com/images/I/61Q2j7bDLcL.jpg,uncredited,Wildside Press,2016-01-05,$0.99,,ebook,THSCNDHNTS2016,ANTHOLOGY,Data from Amazon and Barnes & Noble as of 2017-02-09.
64,678441,Serapion,https://images-na.ssl-images-amazon.com/images/I/41NJFfdZnvL.jpg,Francis Stevens,Sci-Fi Publishing,2018-07-05,$2.79,,ebook,SRPNPDVLDK2018,NOVEL,Amazon Kindle's page count 196. Data from Amazon.com as of 2018-08-16.
65,290707,"The Argosy, March 1904",http://www.philsp.com/data/images/a/argosy_190403.jpg,Editors of Argosy,Frank A. Munsey,1904-03-00,$0.10,,pulp,RGSMRCHNQB1904,MAGAZINE,"v44 #4
Speculative fiction content only. Data from Bleiler's ""Science-Fiction: The Early Years"" and FictionMags."
66,265914,"Perry Rhodan, #84: Secret Mission: Moluk",https://www.isfdb.org/wiki/images/a/ae/SCRTMSSNML1975.jpg,Forrest J. Ackerman,Ace Books,1975-12-00,$1.25,172,pb,SCRTMSSNML1975,MAGAZINE,"<ul>
<li>""First Ace printing: December 1975""; no number line.
<li>The page count begins on the first interior page, p. 168 is the last numbered page (thus, there are the four outside & inside cover pages to be added to 168).
<li>Managing editor: Forrest J. Ackerman.
<li>{{Tr|{{A|Wendayne Ackerman}}}} (the PGarcia story was translated by another hand).
<li>Art director: Charles Volpe.
<li>""The Man on the Meteor: Copyright 1924 by E. P. Publications Inc.""; ""Atlantean Chronicles: Copyright (c) 1971 by Henry M. Eichner"". 
<li>The cover artist is not credited, the cover artwork is signed.
<li>The interior art is not credited or signed, Bruck was found with the original publication.
</ul>"
67,409588,Incredible Adventures 2,http://www.philsp.com/data/images/i/incredible_adventures_1977_n2.jpg,Gene Marshall,Gene Marshall and Carl F. Waedt,1977-00-00,$5.00,96,tp,NCRDBLDVNB1977,ANTHOLOGY,Distributed by Robert Weinberg.
68,1553,"Ackermanthology: 65 Astonishing, Rediscovered Sci-Fi Shorts",https://www.isfdb.org/wiki/images/7/70/65AST1997.jpg,Forrest J Ackerman,General Publishing Group,1997-04-00,$12.95,xi+304,tp,65AST1997,ANTHOLOGY,"<ul>
<li>Copyright 1997 by Forrest J Ackerman.
<li>First printing by number line.
<li>Cover & Interior Design: Kurt Wahlner.
<li>Stated on front cover and title page ""Compiled by Forrest J Ackerman"".
<li>""Final Victory"" listed as ""WARmageddon: Final Victory"" in ToC
<li>Pages 301 & 302 have a full list of the copyrights and other individual publishing data under ""Acknowledgements"".
<li>Editor's Biography on page 303.
<li>Many stories are preceded by a short essay about the story and/or the author and how how it came to be in the collection.
<li>C$17.95 in Canada
<li>LCCN on copyright page.
</ul>"
69,1554,"Ackermanthology: 65 Astonishing Rediscovered Sci-Fi Shorts, Millennium Edition",https://m.media-amazon.com/images/P/0918736250.jpg,Forrest J. Ackerman,Sense of Wonder Press,2000-09-00,$14.95,xi+302,tp,65STNSHNG2000,ANTHOLOGY,"""Final Victory"" listed as ""WARmageddon: Final Victory"" in ToC."
