,Record,Title,Cover Image Link,Author,Publisher,Date,Price,Pages,Binding,Tag,Publication Type,Note,tag_list,wd_14,google_vit
10,62230,"Wonder Stories, January 1935",https://www.isfdb.org/wiki/images/d/d2/WONDSTJAN1935.jpg,Hugo Gernsback,Continental Publications,1935-01-00,$0.25,132.0,pulp,WONDSTJAN1935,MAGAZINE,"<ul>
<li>Page numbers run 897-1024.
<li>Contents page states publication on the 1st of the preceding month.
<li>Cover illustrates ""One-Way Tunnel.""
<li>Cover art is credited to and signed ""Paul.""
<li>Interior art is credited at the start of each story.
<li>""The Hidden Colony (Part 1 of 3)"" is translated by Fletcher Pratt. Story art on page 904 is credited to and signed ""Paul.""
<li>Story art for ""One-Way Tunnel"" on page 934 is credited to and signed ""Paul.""
<li>Story art for ""Master of the Genes"" on page 958 is credited to and signed ""Paul.""
<li>Story art for ""Cosmic Joke"" on page 970 is credited to and signed ""Paul.""
<li>Story art for ""Dawn to Dusk (Part 3 of 3)"" on page 978 is credited to and signed ""Paul.""
<li>""What Is Your Science Knowledge?"" is a list of questions about science facts. With each is listed the story page number on which the answer can be found.
<li>""The Science Fiction League"" is a monthly department that discusses news related to or of interest to the club. It includes correspondence from readers.
<li>""The Reader Speaks"" is a letters column.
<li>""Letter: Scientifictionuts"" is printed in ""The Reader Speaks,"" but it consists entirely of a poem and is entered thus.
<li>""Science Questions and Answers"" is also a letters feature, but deals more narrowly with science questions.
</ul>",,"explosion, poster \(medium\), retro artstyle, english text, ruins, arm up, cover, 1boy, building, spacecraft","book jacket, dust cover, dust jacket, dust wrapper, comic book, menu, packet, jigsaw puzzle"
11,62215,"Wonder Stories, August 1935",https://www.isfdb.org/wiki/images/b/bd/WONDSTAUG1935.jpg,Hugo Gernsback,Continental Publications,1935-08-00,$0.15,132.0,pulp,WONDSTAUG1935,MAGAZINE,"<ul>
<li>Page numbers run 257-384.
<li>Contents page states publication on the 1st of the preceding month.
<li>Cover illustrates ""The Reign of the Reptiles.""
<li>Cover art is not credited; the artwork shows no signature.
<li>Interior art is credited at the start of each story.
<li>Story art for ""The Reign of the Reptiles"" on page 262 is credited to and signed ""Paul.""
<li>Story art for ""The Worlds of If"" on page 276 is credited to and signed ""Paul.""
<li>Story art for ""The Man With the Four Dimensional Eyes"" on page 286 is credited to and signed ""Marchioni.""
<li>Story art for ""The Branches of Time"" on page 294 is credited to ""Paul""; the artwork shows no signature.
<li>Story art for ""The Green Man of Graypec (Part 2 of 3)"" on page 304 is credited to and signed ""Paul.""
<li>""What Is Your Science Knowledge?"" is a list of questions about science facts. With each is listed the story page number on which the answer can be found.
<li>""The Science Fiction League"" is a monthly department that discusses news related to or of interest to the club. It includes correspondence from readers.
<li>""The Reader Speaks"" is a letters column. This month's feature is subtitled ""Special British Edition"" in which thet first five pages are exclusively submissions from England.
<li>Bob Tucker's letter is signed ""Bob (Dictator) Tucker.""
<li>""Science Questions and Answers"" is also a letters feature, but deals more narrowly with science questions.
</ul>",,"retro artstyle, cover, military, magazine cover, 1boy, spacecraft, english text, male focus, fake cover, poster \(medium\), boots, science fiction, 1980s \(style\), aircraft, uniform","comic book, book jacket, dust cover, dust jacket, dust wrapper, packet, Band Aid, mousetrap"
12,62092,"Weird Tales, November 1935",http://www.philsp.com/data/images/w/weird_tales_193511.jpg,Farnsworth Wright,Popular Fiction Publishing Co.,1935-11-00,$0.25,132.0,pulp,WEIRDTNOV1935,MAGAZINE,"<!--isfdb specific-->
<a href=""http://www.isfdb.org/cgi-bin/pl.cgi?62122"">Oct. 1935</a>&#8592; Nov. 1935&#8594;<a href=""http://www.isfdb.org/cgi-bin/pl.cgi?61914"">Dec. 1935</a>
<!--isfdb specific-->

Page numbers do not include covers.
Page numbers run from 529 though 656.
Data from a facsimile of this issue.",,"1girl, long hair, solo, nude, tentacles, english text, retro artstyle, breasts, red background, magazine cover, very long hair, medium breasts, barefoot, black hair, covering privates, covering breasts, brown hair, convenient censoring, cover, parted lips, realistic, full body, looking at viewer, completely nude, standing","comic book, book jacket, dust cover, dust jacket, dust wrapper, packet, maillot, tank suit, maillot"
13,410586,"Weird Tales, November 1935",https://www.isfdb.org/wiki/images/4/41/WRDTLSNVMB2009.jpg,Farnsworth Wright,Girasol Collectables,2009-05-00,$35.00,132.0,pulp,WRDTLSNVMB2009,ANTHOLOGY,"V26n5.
Perfect bound, wraps. Page numbers do not include covers.
Page numbers run from 529 through 656.",,"1girl, retro artstyle, solo, nude, long hair, tentacles, breasts, cover, english text, magazine cover, barefoot, 1990s \(style\), standing, 1980s \(style\), covering privates, medium breasts, brown hair, red background, full body","comic book, book jacket, dust cover, dust jacket, dust wrapper, maillot, tank suit, maillot, neck brace"
14,56274,"Amazing Stories, December 1935",https://isfdb.org/wiki/images/4/4a/AMAZDEC1935.jpg,"T. O'Conor Sloane, Ph.D.","Teck Publications, Inc.",1935-12-00,$0.25,148.0,pulp,AMAZDEC1935,MAGAZINE,"<!--isfdb specific-->
<a href=""http://www.isfdb.org/cgi-bin/pl.cgi?56633"">Oct. 1935</a>&#8592;Dec. 1935&#8594;<a href=""http://www.isfdb.org/cgi-bin/pl.cgi?56319"">Feb. 1936</a><br/>
<!--isfdb specific-->

Vol 10, No 7. Cover illustrates ""The Fall of Mercury."" Index credits all illustrations to Leo Morey.",,"multiple boys, 2boys, retro artstyle, poster \(medium\), gloves, male focus, cover, english text, fake cover, 1980s \(style\), science fiction, pilot suit, jumpsuit, western comics \(style\), copyright name, belt, cover page, helmet, white gloves, parody, traditional media","comic book, book jacket, dust cover, dust jacket, dust wrapper, binder, ring-binder, packet, cassette"
15,56634,"Amazing Stories, October 1936",https://isfdb.org/wiki/images/4/47/AMAZOCT1936.jpg,"T. O'Conor Sloane, Ph.D.","Teck Publications, Inc.",1936-10-00,$0.25,148.0,pulp,AMAZOCT1936,MAGAZINE,"<!--isfdb specific-->
<a href=""http://www.isfdb.org/cgi-bin/pl.cgi?56231"">Aug. 1936</a>&#8592;Oct. 1936&#8594;<a href=""http://www.isfdb.org/cgi-bin/pl.cgi?56275"">Dec. 1936</a><br/>
<!--isfdb specific-->

Vol 10, No 12. Cover illustrates ""Uncertainty."" Index credits all illustrations to Leo Morey.<br>
Bleiler (Gernsback) lists a letter by author Robert W. Lowndes.<br>",,"spacecraft, no humans, retro artstyle, space, cover, science fiction, logo, english text, copyright name, realistic, fake cover, 1980s \(style\)","mousetrap, comic book, Band Aid, muzzle, book jacket, dust cover, dust jacket, dust wrapper"
16,56634,"Amazing Stories, October 1936",https://isfdb.org/wiki/images/4/47/AMAZOCT1936.jpg,"T. O'Conor Sloane, Ph.D.","Teck Publications, Inc.",1936-10-00,$0.25,148.0,pulp,AMAZOCT1936,MAGAZINE,"<!--isfdb specific-->
<a href=""http://www.isfdb.org/cgi-bin/pl.cgi?56231"">Aug. 1936</a>&#8592;Oct. 1936&#8594;<a href=""http://www.isfdb.org/cgi-bin/pl.cgi?56275"">Dec. 1936</a><br/>
<!--isfdb specific-->

Vol 10, No 12. Cover illustrates ""Uncertainty."" Index credits all illustrations to Leo Morey.<br>
Bleiler (Gernsback) lists a letter by author Robert W. Lowndes.<br>",,"spacecraft, no humans, retro artstyle, space, cover, science fiction, logo, english text, copyright name, realistic, fake cover, 1980s \(style\)","mousetrap, comic book, Band Aid, muzzle, book jacket, dust cover, dust jacket, dust wrapper"
17,57505,"Astounding Stories, July 1937",https://isfdb.org/wiki/images/9/9b/ASTJUL1937.jpg,F. Orlin Tremaine,"Street & Smith Publications, Inc.",1937-07-00,$0.20,164.0,pulp,ASTJUL1937,MAGAZINE,"<!--isfdb specific-->
<a href=""http://www.isfdb.org/cgi-bin/pl.cgi?57531"">Jun. 1937</a>&#8592;Jul. 1937&#8594;<a href=""http://www.isfdb.org/cgi-bin/pl.cgi?57401"">Aug. 1937</a><br/>
<!--isfdb specific-->

Vol 19, No 5. Cover illustration untitled. Index credits interior illustrations to Wesso, Dold, Marchioni, and Saaty. Attributions for individual illustrations by signature if present or legible, using the most complete form of the artist's name found in this issue. Authorship of ""Seeker of To-morrow"" was listed on the cover, title page, and in TOC as Leslie (T.) Johnson, but some references identify the middle initial as ""J.""
The full text and images of this edition are available at The Internet Archive, see web page for link.",,"spacecraft, english text, retro artstyle, no humans, sky, cover, 1980s \(style\), parody, text focus, poster \(medium\)","book jacket, dust cover, dust jacket, dust wrapper, comic book, quill, quill pen, Band Aid, umbrella"
18,62015,"Weird Tales, June 1938",http://www.philsp.com/data/images/w/weird_tales_193806.jpg,Farnsworth Wright,Popular Fiction Publishing Co.,1938-06-00,$0.25,132.0,pulp,WEIRDTJUN1938,MAGAZINE,"<!--isfdb specific-->
<a href=""http://www.isfdb.org/cgi-bin/pl.cgi?62062"">May 1938</a>&#8592; Jun. 1938&#8594;<a href=""http://www.isfdb.org/cgi-bin/pl.cgi?61985"">Jul. 1938</a>
<!--isfdb specific-->

Volume 31, Number 6.
Perfect bound, wraps.
Page numbers run from 641 though 768 excluding covers.",,"1girl, blonde hair, solo, dress, cover, barefoot, retro artstyle, jewelry, breasts, bound, medium breasts, strap slip, magazine cover","comic book, book jacket, dust cover, dust jacket, dust wrapper, breastplate, aegis, egis, packet, cassette"
19,410647,"Weird Tales, June 1938",https://www.isfdb.org/wiki/images/1/16/WRDTLSJLZT2011.jpg,Farnsworth Wright,Girasol Collectables,2011-09-00,$35.00,132.0,pulp,WRDTLSJLZT2011,ANTHOLOGY,"V31n6. <br>Perfect bound, wraps. Page numbers do not include covers. <br>Page numbers run from 643 through 768.",,"1girl, dress, solo, blonde hair, barefoot, cover, breasts, blue eyes, bound, strap slip, medium breasts, cover page, jewelry, feet","book jacket, dust cover, dust jacket, dust wrapper, comic book, packet, cassette, Band Aid"
20,58401,"Future Fiction, July 1940",http://www.philsp.com/data/images/f/future_fiction_194007.jpg,Charles D. Hornig,Double Action Magazines,1940-07-00,$0.15,116.0,pulp,FUTUREJUL1940,MAGAZINE,"Volume 1, Number 3. Cover by J. W. Scott illustrates an unspecified story. Interior artwork is not credited and all attributions are based on signatures, where available. Lin Streeter's signature reads ""Streeter L."" in this case.",,"1girl, multiple boys, cover, cuffs, handcuffs, cape, brown hair, 2boys, weapon, skirt, retro artstyle, magazine cover, bra, helmet, 3boys, fake cover, chain, english text, motor vehicle, breasts, cover page, gun, strangling, tank top","comic book, book jacket, dust cover, dust jacket, dust wrapper, packet, toyshop, cassette"
21,62259,"Wonder Stories, November-December 1935",https://www.isfdb.org/wiki/images/8/89/WONDSTNOVDEC1935.jpg,Hugo Gernsback,Continental Publications,1935-11-00,$0.15,132.0,pulp,WONDSTNOVDEC1935,MAGAZINE,"Vol 7, No 6. Cover suggested by ""Dream's End"". The cover and table of contents list December as the publication month but the editorial credit page lists November-December. Paul is credited as the cover artist based upon his signature. Oliver Saari has two different letters. A section headed ""In Your Opinion"" in the letter column lists the fan favorites from the September issue in descending order as ""The Green Man of Greypec"", ""The Ideal"", ""World of the Mist"", ""The Space Lens"", and ""One Hundred Generations"".",,"cover, 6+boys, multiple boys, retro artstyle, city, building, poster \(medium\), english text, magazine cover, cityscape, copyright name, 1980s \(style\), fake cover","book jacket, dust cover, dust jacket, dust wrapper, comic book, packet, harmonica, mouth organ, harp, mouth harp, sulphur butterfly, sulfur butterfly"
22,57709,"Astounding Stories of Super-Science, May 1930",https://isfdb.org/wiki/images/6/6f/ASTMAY1930.jpg,Harry Bates,Publishers' Fiscal Corp,1930-05-00,$0.20,144.0,pulp,ASTMAY1930,MAGAZINE,"<!--isfdb specific-->
<a href=""http://www.isfdb.org/cgi-bin/pl.cgi?57685"">Apr. 1930</a>&#8592;May 1930&#8594;<a href=""http://www.isfdb.org/cgi-bin/pl.cgi?57702"">Jun. 1930</a><br/>
<!--isfdb specific-->

Vol 2, No 2.
Cover illustration for ""The Atom-Smasher"" as noted in the Table of Contents (scanned version from archive.org).
Library of Congress copyright record shows publication date 1930-03-13
There is a replica edition (etext #29809) available at Project Gutenberg.
The full text and images of this edition are available at The Internet Archive, see web page for link.",,"multiple boys, watercraft, water, boat, cover, english text, tree, magazine cover, parody, retro artstyle, outdoors","comic book, book jacket, dust cover, dust jacket, dust wrapper, packet, cassette, binder, ring-binder"
23,62247,"Wonder Stories, March 1935",https://www.isfdb.org/wiki/images/0/09/WONDSTMAR1935.jpg,Hugo Gernsback,Continental Publications,1935-03-00,$0.25,132.0,pulp,WONDSTMAR1935,MAGAZINE,"<ul>
<li>Page numbers run 1153-1280.
<li>Contents page states publication on the 1st of the preceding month.
<li>Cover illustrates ""The Eternal Cycle.""
<li>Cover art is credited to and signed ""Paul.""
<li>Interior art is credited at the start of each story.
<li>Story art for ""In Caverns Below (Part 1 of 3)"" on page 1160 is credited to and signed ""Paul.""
<li>Story art for ""The Eternal Cycle"" on page 1184 is credited to ""Saaty""; the artwork is signed ""Wallace Saaty.""
<li>Story art for ""The Celestial Visitor"" on page 1190 is credited to ""Paul""; no signature found on the artwork.
<li>Story art for ""Pigments Is Pigments"" on page 1208 is credited to ""Winter""; the artwork is signed ""Lumen Winter.""
<li>""The Hidden Colony (Part 3 of 3)"" is translated from the German by Fletcher Pratt. Story art on page 1214 is credited to and signed ""Paul.""
<li>""What Is Your Science Knowledge?"" is a list of questions about science facts. With each is listed the story page number on which the answer can be found.
<li>""The Science Fiction League"" is a monthly department that discusses news related to or of interest to the club. It includes correspondence from readers.
<li>""The Reader Speaks"" is a letters column.
<li>""Science Questions and Answers"" is also a letters feature, but deals more narrowly with science questions.
</ul>",,"planet, 1boy, english text, spacecraft, retro artstyle, copyright name, box art, male focus, poster \(medium\), earth \(planet\), logo","slot, one-armed bandit, comic book, accordion, piano accordion, squeeze box, harmonica, mouth organ, harp, mouth harp, panpipe, pandean pipe, syrinx"
24,62259,"Wonder Stories, November-December 1935",https://www.isfdb.org/wiki/images/8/89/WONDSTNOVDEC1935.jpg,Hugo Gernsback,Continental Publications,1935-11-00,$0.15,132.0,pulp,WONDSTNOVDEC1935,MAGAZINE,"Vol 7, No 6. Cover suggested by ""Dream's End"". The cover and table of contents list December as the publication month but the editorial credit page lists November-December. Paul is credited as the cover artist based upon his signature. Oliver Saari has two different letters. A section headed ""In Your Opinion"" in the letter column lists the fan favorites from the September issue in descending order as ""The Green Man of Greypec"", ""The Ideal"", ""World of the Mist"", ""The Space Lens"", and ""One Hundred Generations"".",,"cover, 6+boys, multiple boys, retro artstyle, city, building, poster \(medium\), english text, magazine cover, cityscape, copyright name, 1980s \(style\), fake cover","book jacket, dust cover, dust jacket, dust wrapper, comic book, packet, harmonica, mouth organ, harp, mouth harp, sulphur butterfly, sulfur butterfly"
25,196829,"Stirring Science Stories, June 1941",http://www.philsp.com/data/images/s/stirring_science_stories_194106.jpg,Donald A. Wollheim,Albing Publications,1941-06-00,$0.15,128.0,pulp,STRRNGSCNC1941,MAGAZINE,"Volume 1, Number 3. Cover art by Hannes Bok illustrating a breakup of the Moon in the far future (according to Wollheim's article, ""The Fantasy World"", in the back of the issue). Interior artwork not credited explicitly and all attributions are based on signatures, where available.",,"english text, parody, hat, cover, fake cover, outstretched arms, solo, 1boy, poster \(medium\)","packet, comic book, book jacket, dust cover, dust jacket, dust wrapper, eggnog, pretzel"
26,588079,"Uncanny Tales, December 1941",http://www.philsp.com/data/images/u/uncanny_tales_194112.jpg,Melvin R. Colby,Adam Publishing Company,1941-12-00,C$0.15,96.0,pulp,NCNNTLSDCM1941,MAGAZINE,"V2 #12
Info from the FictionMags Index.
Page count may not reflect the covers.",,"1boy, candle, solo, male focus, english text, realistic, fire, parody, signature, blood, old, portrait","book jacket, dust cover, dust jacket, dust wrapper, comic book, packet, Band Aid, tobacco shop, tobacconist shop, tobacconist"
27,60807,"Super Science Stories, September 1950",https://www.isfdb.org/wiki/images/0/09/SPRSCISSEP1950.jpg,Ejler Jakobsson,"Fictioneers, Inc.; Kokomo, IN",1950-09-00,$0.25,132.0,pulp,SPRSCISSEP1950,MAGAZINE,"<ul>
<li>Data from Archive.org <a href='https://archive.org/details/Super_Science_Stories_v07n02_1950-09_slpn'>scan</a>.
<li>Tuck credits Jakobsson as the editor, but he does not appear to be credited in magazine.
<li>Vol. 7 No. 2
<li>Cover art credited as Van Dongen on table of contents page.
<li>According to <A HREF=""https://www.pulpartists.com/VanDongen.html"">pulpartists.com</A>, Norman Saunders added the woman and the exploding planet to Van Dongen's cover art.
<li>Story interior art credits by signature. 
<li>Table of contents lists illustrations as by Finlay, Callé, Van Dongen, Fawcett, Morey, Stuart, and Paul, but it doesn't specify which ones each did. ToC uses Fawcett, but signatures are Fawcette.
<li>Signature on ""The Undying Ones"" (bottom right) is not readable in scan.
<li>""The Science Fictioneer"" also contains a review of the file ""Destination Moon"" (screenplay by Robert A. Heinlein).
<li>There appears to be no signature for ""The Mind Masters"" and ""Beyond Space and Time"" but it may just not be visible in scan.
<li>Only letters for writers already in database are entered.
</ul>",,"blonde hair, retro artstyle, cover, 1girl, multiple boys, gloves, magazine cover, 2boys, 1990s \(style\), 1boy, fake cover, short hair, cover page, mask, 1980s \(style\)","comic book, book jacket, dust cover, dust jacket, dust wrapper, cassette, bookshop, bookstore, bookstall, tobacco shop, tobacconist shop, tobacconist"
28,60793,"Super Science Stories, June 1951",https://www.isfdb.org/wiki/images/9/9f/SPRSCISJUN1951.jpg,Ejler Jakobsson,"Fictioneers, Inc.; Kokomo, IN",1951-06-00,$0.25,116.0,pulp,SPRSCISJUN1951,MAGAZINE,"Vol. 8, No. 2.<br>The editor is not listed but Mike Ashley's ""Transformations"" credits Jakobsson.<br>Interior artists listed on the table of contents are Savage, Van Dongen, Bok, and Lawrence.",,"spacecraft, building, retro artstyle, cover, science fiction, magazine cover, no humans, city, english text, traditional media, explosion, 1980s \(style\)","comic book, jigsaw puzzle, book jacket, dust cover, dust jacket, dust wrapper, slot, one-armed bandit, prayer rug, prayer mat"
29,599647,Super Science Stories No. 7,https://www.isfdb.org/wiki/images/5/51/SPRSCNCSTB1952.jpg,Ejler Jakobsson,Pemberton's,1952-03-00,1/-,68.0,pulp,SPRSCNCSTB1952,MAGAZINE,"<br> Date and editor from Tuck
 All contents [and artist] from the August 1951 US issue, all US adds replaced by UK ones and 48 fewer pages
 The poem by Lilith Lorraine had been deleted from No. 6 but is printed here with the Bok artwork",,"no humans, space, moon, english text, planet, retro artstyle, cover, spacecraft, sign, star \(sky\), realistic, traditional media, science fiction, 1980s \(style\), magazine cover","book jacket, dust cover, dust jacket, dust wrapper, comic book, ocarina, sweet potato, plunger, plumber's helper, packet"
