Record,Title,Cover Image Link,Author,Publisher,Date,Price,Pages,Binding,Tag,Publication Type,Note
62215,"Wonder Stories, August 1935",https://www.isfdb.org/wiki/images/b/bd/WONDSTAUG1935.jpg,Hugo Gernsback,Continental Publications,1935-08-00,$0.15,132,pulp,WONDSTAUG1935,MAGAZINE,"<ul>
<li>Page numbers run 257-384.
<li>Contents page states publication on the 1st of the preceding month.
<li>Cover illustrates ""The Reign of the Reptiles.""
<li>Cover art is not credited; the artwork shows no signature.
<li>Interior art is credited at the start of each story.
<li>Story art for ""The Reign of the Reptiles"" on page 262 is credited to and signed ""Paul.""
<li>Story art for ""The Worlds of If"" on page 276 is credited to and signed ""Paul.""
<li>Story art for ""The Man With the Four Dimensional Eyes"" on page 286 is credited to and signed ""Marchioni.""
<li>Story art for ""The Branches of Time"" on page 294 is credited to ""Paul""; the artwork shows no signature.
<li>Story art for ""The Green Man of Graypec (Part 2 of 3)"" on page 304 is credited to and signed ""Paul.""
<li>""What Is Your Science Knowledge?"" is a list of questions about science facts. With each is listed the story page number on which the answer can be found.
<li>""The Science Fiction League"" is a monthly department that discusses news related to or of interest to the club. It includes correspondence from readers.
<li>""The Reader Speaks"" is a letters column. This month's feature is subtitled ""Special British Edition"" in which thet first five pages are exclusively submissions from England.
<li>Bob Tucker's letter is signed ""Bob (Dictator) Tucker.""
<li>""Science Questions and Answers"" is also a letters feature, but deals more narrowly with science questions.
</ul>"
62092,"Weird Tales, November 1935",http://www.philsp.com/data/images/w/weird_tales_193511.jpg,Farnsworth Wright,Popular Fiction Publishing Co.,1935-11-00,$0.25,132,pulp,WEIRDTNOV1935,MAGAZINE,"<!--isfdb specific-->
<a href=""http://www.isfdb.org/cgi-bin/pl.cgi?62122"">Oct. 1935</a>&#8592; Nov. 1935&#8594;<a href=""http://www.isfdb.org/cgi-bin/pl.cgi?61914"">Dec. 1935</a>
<!--isfdb specific-->
Page numbers do not include covers.
Page numbers run from 529 though 656.
Data from a facsimile of this issue."
410586,"Weird Tales, November 1935",https://www.isfdb.org/wiki/images/4/41/WRDTLSNVMB2009.jpg,Farnsworth Wright,Girasol Collectables,2009-05-00,$35.00,132,pulp,WRDTLSNVMB2009,ANTHOLOGY,"V26n5.
Perfect bound, wraps. Page numbers do not include covers.
Page numbers run from 529 through 656."
56274,"Amazing Stories, December 1935",https://isfdb.org/wiki/images/4/4a/AMAZDEC1935.jpg,"T. O'Conor Sloane, Ph.D.","Teck Publications, Inc.",1935-12-00,$0.25,148,pulp,AMAZDEC1935,MAGAZINE,"<!--isfdb specific-->
<a href=""http://www.isfdb.org/cgi-bin/pl.cgi?56633"">Oct. 1935</a>&#8592;Dec. 1935&#8594;<a href=""http://www.isfdb.org/cgi-bin/pl.cgi?56319"">Feb. 1936</a><br/>
<!--isfdb specific-->
Vol 10, No 7. Cover illustrates ""The Fall of Mercury."" Index credits all illustrations to Leo Morey."
56634,"Amazing Stories, October 1936",https://isfdb.org/wiki/images/4/47/AMAZOCT1936.jpg,"T. O'Conor Sloane, Ph.D.","Teck Publications, Inc.",1936-10-00,$0.25,148,pulp,AMAZOCT1936,MAGAZINE,"<!--isfdb specific-->
<a href=""http://www.isfdb.org/cgi-bin/pl.cgi?56231"">Aug. 1936</a>&#8592;Oct. 1936&#8594;<a href=""http://www.isfdb.org/cgi-bin/pl.cgi?56275"">Dec. 1936</a><br/>
<!--isfdb specific-->
Vol 10, No 12. Cover illustrates ""Uncertainty."" Index credits all illustrations to Leo Morey.<br>
Bleiler (Gernsback) lists a letter by author Robert W. Lowndes.<br>"
57505,"Astounding Stories, July 1937",https://isfdb.org/wiki/images/9/9b/ASTJUL1937.jpg,F. Orlin Tremaine,"Street & Smith Publications, Inc.",1937-07-00,$0.20,164,pulp,ASTJUL1937,MAGAZINE,"<!--isfdb specific-->
<a href=""http://www.isfdb.org/cgi-bin/pl.cgi?57531"">Jun. 1937</a>&#8592;Jul. 1937&#8594;<a href=""http://www.isfdb.org/cgi-bin/pl.cgi?57401"">Aug. 1937</a><br/>
<!--isfdb specific-->
Vol 19, No 5. Cover illustration untitled. Index credits interior illustrations to Wesso, Dold, Marchioni, and Saaty. Attributions for individual illustrations by signature if present or legible, using the most complete form of the artist's name found in this issue. Authorship of ""Seeker of To-morrow"" was listed on the cover, title page, and in TOC as Leslie (T.) Johnson, but some references identify the middle initial as ""J.""
The full text and images of this edition are available at The Internet Archive, see web page for link."
62015,"Weird Tales, June 1938",http://www.philsp.com/data/images/w/weird_tales_193806.jpg,Farnsworth Wright,Popular Fiction Publishing Co.,1938-06-00,$0.25,132,pulp,WEIRDTJUN1938,MAGAZINE,"<!--isfdb specific-->
<a href=""http://www.isfdb.org/cgi-bin/pl.cgi?62062"">May 1938</a>&#8592; Jun. 1938&#8594;<a href=""http://www.isfdb.org/cgi-bin/pl.cgi?61985"">Jul. 1938</a>
<!--isfdb specific-->
Volume 31, Number 6.
Perfect bound, wraps.
Page numbers run from 641 though 768 excluding covers."
410647,"Weird Tales, June 1938",https://www.isfdb.org/wiki/images/1/16/WRDTLSJLZT2011.jpg,Farnsworth Wright,Girasol Collectables,2011-09-00,$35.00,132,pulp,WRDTLSJLZT2011,ANTHOLOGY,"V31n6. <br>Perfect bound, wraps. Page numbers do not include covers. <br>Page numbers run from 643 through 768."
58401,"Future Fiction, July 1940",http://www.philsp.com/data/images/f/future_fiction_194007.jpg,Charles D. Hornig,Double Action Magazines,1940-07-00,$0.15,116,pulp,FUTUREJUL1940,MAGAZINE,"Volume 1, Number 3. Cover by J. W. Scott illustrates an unspecified story. Interior artwork is not credited and all attributions are based on signatures, where available. Lin Streeter's signature reads ""Streeter L."" in this case."
62259,"Wonder Stories, November-December 1935",https://www.isfdb.org/wiki/images/8/89/WONDSTNOVDEC1935.jpg,Hugo Gernsback,Continental Publications,1935-11-00,$0.15,132,pulp,WONDSTNOVDEC1935,MAGAZINE,"Vol 7, No 6. Cover suggested by ""Dream's End"". The cover and table of contents list December as the publication month but the editorial credit page lists November-December. Paul is credited as the cover artist based upon his signature. Oliver Saari has two different letters. A section headed ""In Your Opinion"" in the letter column lists the fan favorites from the September issue in descending order as ""The Green Man of Greypec"", ""The Ideal"", ""World of the Mist"", ""The Space Lens"", and ""One Hundred Generations""."
57709,"Astounding Stories of Super-Science, May 1930",https://isfdb.org/wiki/images/6/6f/ASTMAY1930.jpg,Harry Bates,Publishers' Fiscal Corp,1930-05-00,$0.20,144,pulp,ASTMAY1930,MAGAZINE,"<!--isfdb specific-->
<a href=""http://www.isfdb.org/cgi-bin/pl.cgi?57685"">Apr. 1930</a>&#8592;May 1930&#8594;<a href=""http://www.isfdb.org/cgi-bin/pl.cgi?57702"">Jun. 1930</a><br/>
<!--isfdb specific-->
Vol 2, No 2.
Cover illustration for ""The Atom-Smasher"" as noted in the Table of Contents (scanned version from archive.org).
Library of Congress copyright record shows publication date 1930-03-13
There is a replica edition (etext #29809) available at Project Gutenberg.
The full text and images of this edition are available at The Internet Archive, see web page for link."
62247,"Wonder Stories, March 1935",https://www.isfdb.org/wiki/images/0/09/WONDSTMAR1935.jpg,Hugo Gernsback,Continental Publications,1935-03-00,$0.25,132,pulp,WONDSTMAR1935,MAGAZINE,"<ul>
<li>Page numbers run 1153-1280.
<li>Contents page states publication on the 1st of the preceding month.
<li>Cover illustrates ""The Eternal Cycle.""
<li>Cover art is credited to and signed ""Paul.""
<li>Interior art is credited at the start of each story.
<li>Story art for ""In Caverns Below (Part 1 of 3)"" on page 1160 is credited to and signed ""Paul.""
<li>Story art for ""The Eternal Cycle"" on page 1184 is credited to ""Saaty""; the artwork is signed ""Wallace Saaty.""
<li>Story art for ""The Celestial Visitor"" on page 1190 is credited to ""Paul""; no signature found on the artwork.
<li>Story art for ""Pigments Is Pigments"" on page 1208 is credited to ""Winter""; the artwork is signed ""Lumen Winter.""
<li>""The Hidden Colony (Part 3 of 3)"" is translated from the German by Fletcher Pratt. Story art on page 1214 is credited to and signed ""Paul.""
<li>""What Is Your Science Knowledge?"" is a list of questions about science facts. With each is listed the story page number on which the answer can be found.
<li>""The Science Fiction League"" is a monthly department that discusses news related to or of interest to the club. It includes correspondence from readers.
<li>""The Reader Speaks"" is a letters column.
<li>""Science Questions and Answers"" is also a letters feature, but deals more narrowly with science questions.
</ul>"
196829,"Stirring Science Stories, June 1941",http://www.philsp.com/data/images/s/stirring_science_stories_194106.jpg,Donald A. Wollheim,Albing Publications,1941-06-00,$0.15,128,pulp,STRRNGSCNC1941,MAGAZINE,"Volume 1, Number 3. Cover art by Hannes Bok illustrating a breakup of the Moon in the far future (according to Wollheim's article, ""The Fantasy World"", in the back of the issue). Interior artwork not credited explicitly and all attributions are based on signatures, where available."
588079,"Uncanny Tales, December 1941",http://www.philsp.com/data/images/u/uncanny_tales_194112.jpg,Melvin R. Colby,Adam Publishing Company,1941-12-00,C$0.15,96,pulp,NCNNTLSDCM1941,MAGAZINE,"V2 #12
Info from the FictionMags Index.
Page count may not reflect the covers."
60807,"Super Science Stories, September 1950",https://www.isfdb.org/wiki/images/0/09/SPRSCISSEP1950.jpg,Ejler Jakobsson,"Fictioneers, Inc.; Kokomo, IN",1950-09-00,$0.25,132,pulp,SPRSCISSEP1950,MAGAZINE,"<ul>
<li>Data from Archive.org <a href='https://archive.org/details/Super_Science_Stories_v07n02_1950-09_slpn'>scan</a>.
<li>Tuck credits Jakobsson as the editor, but he does not appear to be credited in magazine.
<li>Vol. 7 No. 2
<li>Cover art credited as Van Dongen on table of contents page.
<li>According to <A HREF=""https://www.pulpartists.com/VanDongen.html"">pulpartists.com</A>, Norman Saunders added the woman and the exploding planet to Van Dongen's cover art.
<li>Story interior art credits by signature. <li>Table of contents lists illustrations as by Finlay, Callé, Van Dongen, Fawcett, Morey, Stuart, and Paul, but it doesn't specify which ones each did. ToC uses Fawcett, but signatures are Fawcette.
<li>Signature on ""The Undying Ones"" (bottom right) is not readable in scan.
<li>""The Science Fictioneer"" also contains a review of the file ""Destination Moon"" (screenplay by Robert A. Heinlein).
<li>There appears to be no signature for ""The Mind Masters"" and ""Beyond Space and Time"" but it may just not be visible in scan.
<li>Only letters for writers already in database are entered.
</ul>"
60793,"Super Science Stories, June 1951",https://www.isfdb.org/wiki/images/9/9f/SPRSCISJUN1951.jpg,Ejler Jakobsson,"Fictioneers, Inc.; Kokomo, IN",1951-06-00,$0.25,116,pulp,SPRSCISJUN1951,MAGAZINE,"Vol. 8, No. 2.<br>The editor is not listed but Mike Ashley's ""Transformations"" credits Jakobsson.<br>Interior artists listed on the table of contents are Savage, Van Dongen, Bok, and Lawrence."
599647,Super Science Stories No. 7,https://www.isfdb.org/wiki/images/5/51/SPRSCNCSTB1952.jpg,Ejler Jakobsson,Pemberton's,1952-03-00,1/-,68,pulp,SPRSCNCSTB1952,MAGAZINE,"<br> Date and editor from Tuck
 All contents [and artist] from the August 1951 US issue, all US adds replaced by UK ones and 48 fewer pages
 The poem by Lilith Lorraine had been deleted from No. 6 but is printed here with the Bok artwork"
640830,"Amazing Stories Quarterly (Reissue), Winter 1941",https://isfdb.org/wiki/images/5/50/MZNGSTRSQR1941.jpg,The Editor,Ziff-Davis,1941-00-00,$0.25,,pulp,MZNGSTRSQR1941,MAGAZINE,"V2 #1
The price is printed on cover."
56198,"Amazing Stories, April 1941",https://isfdb.org/wiki/images/f/fd/AMAZAPR1941.jpg,Raymond A. Palmer,Ziff-Davis Publishing Company,1941-04-00,$0.20,148,pulp,AMAZAPR1941,MAGAZINE,"<!--isfdb specific-->
<a href=""http://www.isfdb.org/cgi-bin/pl.cgi?56494"">Mar. 1941</a>&#8592;Apr. 1941&#8594;<a href=""http://www.isfdb.org/cgi-bin/pl.cgi?56543"">May 1941</a><br/>
<!--isfdb specific-->
Vol 15, No 4. Cover illustrates ""Lords of the Underworld."" Table of contents credits interior illustrations to J. Allen St. John, Julian S. Krupa, Robert Fuqua, Jay Jackson, Joe Sewell, Dick Shaw, R. Newman, and Guy Gifford. Attributions for individual illustrations by signature if present or recognizable, using the most complete form of the artist's name found in this issue."
60679,"Startling Stories, July 1942",https://www.isfdb.org/wiki/images/6/68/STARTLJUL1942.JPG,Oscar J. Friend,"Better Publications, Inc.",1942-07-00,$0.15,132,pulp,STARTLJUL1942,MAGAZINE,"Vol 8, No 1. Cover illustration untitled. Attributions for illustrations from credit or signatures using most complete form of the artists' names in this issue."
56368,"Amazing Stories, January 1948",https://www.isfdb.org/wiki/images/e/e3/AMAZJAN1948.jpg,Raymond A. Palmer,Ziff-Davis Publishing Company,1948-01-00,$0.25,180,pulp,AMAZJAN1948,MAGAZINE,"<!--isfdb specific-->
<a href=""http://www.isfdb.org/cgi-bin/pl.cgi?56285"">Dec. 1947</a>&#8592;Jan. 1948&#8594;<a href=""http://www.isfdb.org/cgi-bin/pl.cgi?56329"">Feb. 1948</a><br/>
<!--isfdb specific-->
Vol 22, No 1. Cover illustration untitled."
58110,"Fantastic Adventures, January 1948",http://www.philsp.com/data/images/f/fantastic_adventures_194801.jpg,Raymond A. Palmer,Ziff-Davis Publishing Company,1948-01-00,$0.25,180,pulp,FANTADJAN1948,MAGAZINE,"Vol 10, No 1. Cover illustrates ""Secret of the Serpent."""
640819,"Amazing Stories Quarterly (Reissue), Summer 1948",https://isfdb.org/wiki/images/8/8c/MZNGSTRSQC1948.jpg,The Editor,Ziff-Davis,1948-07-00,$0.35,,pulp,MZNGSTRSQC1948,MAGAZINE,"Summer 1948
The price is printed on cover."
56674,"Amazing Stories, September 1941",https://isfdb.org/wiki/images/b/b6/AMAZSEP1941.jpg,Raymond A. Palmer,Ziff-Davis Publishing Company,1941-09-00,$0.20,148,pulp,AMAZSEP1941,MAGAZINE,"<!--isfdb specific-->
<a href=""http://www.isfdb.org/cgi-bin/pl.cgi?56236"">Aug. 1941</a>&#8592;Sep. 1941&#8594;<a href=""http://www.isfdb.org/cgi-bin/pl.cgi?56639"">Oct. 1941</a><br/>
<!--isfdb specific-->
Vol 15, No 9. Cover illustrates ""Enchantress of Lemuria."" Table of contents credits interior illustrations to Robert Fuqua, Jay Jackson, Magarian, Ralph Johnson, Joe Sewell, and Julian S. Krupa. Cartoons credited to John Cherry, R. Newman. Attributions for individual illustrations by signature if present or recognizable, using the most complete form of the artist's name found in this issue.
Illustrator for ""Enchantress of Lemuria"" from the reprint of the artwork in <i><a href=""http://www.isfdb.org/cgi-bin/pl.cgi?243081"">2000 A.D.: Illustrations from the Golden Age of Science Fiction Pulps</a></i>."
640829,"Amazing Stories Quarterly (Reissue), Spring 1942",https://isfdb.org/wiki/images/5/57/MZNGSTRSQD1942.jpg,The Editor,Ziff-Davis,1942-00-00,$0.25,,pulp,MZNGSTRSQD1942,MAGAZINE,"V2 #2
The price is printed on cover."
56280,"Amazing Stories, December 1941",https://isfdb.org/wiki/images/e/ee/AMAZDEC1941.jpg,Raymond A. Palmer,Ziff-Davis Publishing Company,1941-12-00,$0.20,148,pulp,AMAZDEC1941,MAGAZINE,"<!--isfdb specific-->
<a href=""http://www.isfdb.org/cgi-bin/pl.cgi?56590"">Nov. 1941</a>&#8592;Dec. 1941&#8594;<a href=""http://www.isfdb.org/cgi-bin/pl.cgi?56364"">Jan. 1942</a><br/>
<!--isfdb specific-->
Vol 15, No 12. Cover illustrates ""The Secret of Planetoid 88."" Table of contents credits interior illustrations to Rod Ruth, Jay Jackson, John Charles Thoman, and Joe Sewell. Cartoons by Magarian, Marvin Townsend, and R. Newman. Attributions for individual illustrations by signature if present or recognizable, using the most complete form of the artist's name found in this issue."
640828,"Amazing Stories Quarterly (Reissue), Summer 1942",https://isfdb.org/wiki/images/3/32/MZNGSTRSQC1942.jpg,The Editor,Ziff-Davis,1942-00-00,$0.25,,pulp,MZNGSTRSQC1942,MAGAZINE,"V2 #3
The price is printed on cover."
56364,"Amazing Stories, January 1942",https://isfdb.org/wiki/images/4/4e/AMAZJAN1942.jpg,Raymond A. Palmer,Ziff-Davis Publishing Company,1942-01-00,$0.25,244,pulp,AMAZJAN1942,MAGAZINE,"<!--isfdb specific-->
<a href=""http://www.isfdb.org/cgi-bin/pl.cgi?56280"">Dec. 1941</a>&#8592;Jan. 1942&#8594;<a href=""http://www.isfdb.org/cgi-bin/pl.cgi?56325"">Feb. 1942</a><br/>
<!--isfdb specific-->
Vol 16, No 1. Cover illustrates ""The Test Tube Girl."" Table of contents credits interior illustrations to Virgil Finlay, Jay Jackson, Robert Fuqua, Magarian, Rod Ruth, and Joe Sewell. Cartoons credited to R. Newman, and Bob Glueckstein. Attributions for individual illustrations by signature if present or recognizable, using the most complete form of the artist's name found in this issue."
640826,"Amazing Stories Quarterly (Reissue), Winter 1942",https://isfdb.org/wiki/images/8/83/MZNGSTRSQR1942.jpg,The Editor,Ziff-Davis,1942-00-00,$0.35,,pulp,MZNGSTRSQR1942,MAGAZINE,"V3 #1
The price is printed on cover."
56458,"Amazing Stories, June 1942",https://isfdb.org/wiki/images/d/dc/AMAZJUN1942.jpg,Raymond A. Palmer,Ziff-Davis Publishing Company,1942-06-00,$0.25,276,pulp,AMAZJUN1942,MAGAZINE,"<!--isfdb specific-->
<a href=""http://www.isfdb.org/cgi-bin/pl.cgi?56544"">May 1942</a>&#8592;Jun. 1942&#8594;<a href=""http://www.isfdb.org/cgi-bin/pl.cgi?56410"">Jul. 1942</a><br/>
<!--isfdb specific-->
Vol 16, No 6. Cover illustration untitled. Attributions for individual illustrations by signature if present or recognizable, using the most complete form of the artist's name found in this issue."
56410,"Amazing Stories, July 1942",https://isfdb.org/wiki/images/b/b6/AMAZJUL1942.jpg,Raymond A. Palmer,Ziff-Davis Publishing Company,1942-07-00,$0.25,276,pulp,AMAZJUL1942,MAGAZINE,"<!--isfdb specific-->
<a href=""http://www.isfdb.org/cgi-bin/pl.cgi?56458"">Jun. 1942</a>&#8592;Jul. 1942&#8594;<a href=""http://www.isfdb.org/cgi-bin/pl.cgi?56237"">Aug. 1942</a><br/>
<!--isfdb specific-->
Vol 16, No 7. Cover illustrates ""Blitzkrieg in the Past."" Interior illustrations credited to Jay Jackson, Ed Gordon, Magarian, Robert Fuqua, Ned Hadley, J. Allen St. John, Hugo Wolf, Joe Sewell, and Milburn. Attributions for individual illustrations by signature if present or recognizable, using the most complete form of the artist's name found in this issue."
56237,"Amazing Stories, August 1942",https://isfdb.org/wiki/images/a/a1/AMAZAUG1942.jpg,Raymond A. Palmer,Ziff-Davis Publishing Company,1942-08-00,$0.25,244,pulp,AMAZAUG1942,MAGAZINE,"<!--isfdb specific-->
<a href=""http://www.isfdb.org/cgi-bin/pl.cgi?56410"">Jul. 1942</a>&#8592;Aug. 1942&#8594;<a href=""http://www.isfdb.org/cgi-bin/pl.cgi?56675"">Sep. 1942</a><br/>
<!--isfdb specific-->
Vol 16, No 8. Cover illustrates ""The Vengeance of Martin Brand"". The McCauley original art was flipped horizontally and extensively reworked by persons unknown, presumably staff at the magazine. The original art can be seen <a href=""http://www.isfdb.org/cgi-bin/title.cgi?2045728"">here</a>. Table of Contents credits interior illustrations to H. W. McCauley, Malcolm Smith, Ned Hadley, Robert Fuqua, Swan Studios, Inc., L. Raymond Jones, Jay Jackson, Russell Milburn, Joe Sewell, and Hugo Wolf. Attributions for individual illustrations by signature if present or recognizable, using the most complete form of the artist's name found in this issue."
640825,"Amazing Stories Quarterly (Reissue), Spring 1943",https://isfdb.org/wiki/images/d/dd/MZNGSTRSQD1943.jpg,The Editor,Ziff-Davis,1943-00-00,$0.35,,pulp,MZNGSTRSQD1943,MAGAZINE,"V3 #2
The price is printed on cover."
56675,"Amazing Stories, September 1942",https://isfdb.org/wiki/images/9/96/AMAZSEP1942.jpg,Raymond A. Palmer,Ziff-Davis Publishing Company,1942-09-00,$0.25,244,pulp,AMAZSEP1942,MAGAZINE,"<!--isfdb specific-->
Vol 19 No 9. Front cover illustrates ""Blitz Against Japan."" Interior illustrations credited to Robert Fuqua, Ned Hadley, L. Raymond Jones, R. B. Sharp, Brady, Russell Milburn, H. W. MacCauley, Joe Sewell, and Hugo Wolf. Attributions for the interior illustrations use the most complete form of the artist's name found in this issue.
<a href=""http://www.isfdb.org/cgi-bin/pl.cgi?56237"">Aug. 1942</a>&#8592;Sep. 1942&#8594;<a href=""http://www.isfdb.org/cgi-bin/pl.cgi?56640"">Oct. 1942</a><br/>
<!--isfdb specific-->"
